spectrum,R (sRGB),G,B,L,a*,b*,Y,x,y,fx,fy,fz,eta,kappa,xr,yr,zr,Xr,Yr,Zr,X,Y,Z
reds,247,88,131,63.01053703,61.19185232,1.989680004,31.59956276,0.4331745052,0.2776088277,0.8035090238,0.6811253192,0.6711769192,0.008856,903.3,0.5187669208,0.3159956276,0.3023507428,95.047,100,108.883,49.30723952,31.59956276,32.92085593
reds,245,81,121,61.84307263,62.01782602,5.565462044,30.21940733,0.4466096111,0.2824983186,0.795096623,0.6710609709,0.6432336607,0.008856,903.3,0.5026431017,0.3021940733,0.2661376327,95.047,100,108.883,47.77471889,30.21940733,28.97786386
reds,244,75,111,60.67560823,63.30383738,8.000512793,28.88003542,0.4579942068,0.2848361199,0.7876042974,0.6609966227,0.6209940587,0.008856,903.3,0.4885671147,0.2888003542,0.2394761875,95.047,100,108.883,46.43683855,28.88003542,26.07488572
reds,243,68,101,59.50814384,64.38381359,11.33368693,27.58083535,0.4718343195,0.2888524732,0.7796999016,0.6509322744,0.5942638398,0.008856,903.3,0.4740044712,0.2758083535,0.2098639846,95.047,100,108.883,45.05270297,27.58083535,22.85062023
reds,241,61,91,58.34067944,65.35712161,15.23759182,26.32119547,0.4873524876,0.2938081477,0.7715821694,0.6408679262,0.5646799671,0.008856,903.3,0.4593529912,0.2632119547,0.1800558111,95.047,100,108.883,43.66012376,26.32119547,19.60501688
reds,240,54,81,57.17321504,66.55485642,18.77466248,25.10050412,0.5024681806,0.2976599448,0.7639132908,0.6308035779,0.5369302655,0.008856,903.3,0.4457919258,0.2510050412,0.154793833,95.047,100,108.883,42.37118517,25.10050412,16.85441692
reds,239,48,71,56.00575064,67.8490524,22.34041243,23.91814965,0.5180019083,0.3011630301,0.7564373345,0.6207392297,0.5090371675,0.008856,903.3,0.4328315071,0.2391814965,0.1319011193,95.047,100,108.883,41.13933625,23.91814965,14.36178957
reds,237,41,61,54.83828625,68.75650538,27.21262722,22.7735204,0.5363360819,0.3068292399,0.7481878922,0.6106748814,0.4746117454,0.008856,903.3,0.4188244505,0.227735204,0.1069092899,95.047,100,108.883,39.80800755,22.7735204,11.64060421
reds,236,34,51,53.67082185,70.0824497,31.27006012,21.6660047,0.5531384573,0.3101805497,0.7407754326,0.6006105332,0.4442602326,0.008856,903.3,0.406499216,0.216660047,0.08768237785,95.047,100,108.883,38.63653098,21.6660047,9.547120347
reds,234,27,40,52.50335745,71.08453814,36.4261477,20.59499091,0.5716830269,0.3149000848,0.7327152612,0.5905461849,0.4084154464,0.008856,903.3,0.3933740542,0.2059499091,0.06812499396,95.047,100,108.883,37.38902373,20.59499091,7.417653717
reds,233,20,30,51.33589306,72.03551692,41.96160066,19.55986737,0.5901754376,0.3192996029,0.7245528705,0.5804818367,0.3706738334,0.008856,903.3,0.3803734925,0.1955986737,0.05093024766,95.047,100,108.883,36.15335934,19.55986737,5.545438156
reds,232,14,20,50.16842866,72.74725671,48.30540695,18.56002241,0.6085489697,0.3238595325,0.7159120018,0.5704174884,0.3288904537,0.008856,903.3,0.3669263743,0.1856002241,0.03557572864,95.047,100,108.883,34.8752511,18.56002241,3.873592061
reds,230,7,10,49.00096426,73.59644113,54.55883749,17.59484438,0.6251881848,0.3267335239,0.7075460224,0.5603531402,0.2875589527,0.008856,903.3,0.3542126618,0.1759484438,0.02377829331,95.047,100,108.883,33.66685087,17.59484438,2.589051911
reds,229,0,0,47.83349986,73.83775238,62.41517592,16.66372163,0.6405462118,0.3302816404,0.6979642967,0.5502887919,0.2382129123,0.008856,903.3,0.3400162103,0.1666372163,0.01351748499,95.047,100,108.883,32.31752074,16.66372163,1.471824318
