,subject_id,colour,num,is_dark,rt,language
846,54af2a48fdf99b09c01b3801,reds,9,0,2268,English
847,54af2a48fdf99b09c01b3801,blues,19,1,1024.5,English
848,54af2a48fdf99b09c01b3801,blues,6,0,812.0999999,English
849,54af2a48fdf99b09c01b3801,reds,13,0,1840,English
850,54af2a48fdf99b09c01b3801,blues,12,1,3362.7,English
851,54af2a48fdf99b09c01b3801,yellows,3,0,1178.5,English
852,54af2a48fdf99b09c01b3801,blues,19,1,886.2000003,English
853,54af2a48fdf99b09c01b3801,yellows,20,1,616.4000001,English
854,54af2a48fdf99b09c01b3801,blues,18,1,2093.6,English
855,54af2a48fdf99b09c01b3801,reds,3,0,1295.2,English
857,54af2a48fdf99b09c01b3801,blues,20,1,726,English
858,54af2a48fdf99b09c01b3801,browns,9,0,1136.2,English
859,54af2a48fdf99b09c01b3801,yellows,4,0,706,English
860,54af2a48fdf99b09c01b3801,browns,9,0,1095,English
861,54af2a48fdf99b09c01b3801,reds,4,0,1009.8,English
862,54af2a48fdf99b09c01b3801,blues,17,1,819.4000001,English
863,54af2a48fdf99b09c01b3801,yellows,13,1,2122.9,English
864,54af2a48fdf99b09c01b3801,browns,5,0,904.5999999,English
865,54af2a48fdf99b09c01b3801,yellows,15,1,1185,English
866,54af2a48fdf99b09c01b3801,yellows,2,0,793.9000001,English
867,54af2a48fdf99b09c01b3801,reds,1,0,1022.7,English
868,54af2a48fdf99b09c01b3801,browns,7,0,1597.5,English
869,54af2a48fdf99b09c01b3801,yellows,17,1,1048.1,English
870,54af2a48fdf99b09c01b3801,reds,4,0,1239.8,English
871,54af2a48fdf99b09c01b3801,yellows,9,0,1378.8,English
872,54af2a48fdf99b09c01b3801,yellows,3,0,710.6000004,English
873,54af2a48fdf99b09c01b3801,reds,16,1,854.7999997,English
874,54af2a48fdf99b09c01b3801,browns,8,0,1293.3,English
875,54af2a48fdf99b09c01b3801,browns,1,0,710.6000004,English
876,54af2a48fdf99b09c01b3801,reds,20,1,3303.5,English
877,54af2a48fdf99b09c01b3801,blues,3,0,1168.7,English
878,54af2a48fdf99b09c01b3801,reds,17,1,721,English
879,54af2a48fdf99b09c01b3801,blues,9,0,1903.4,English
880,54af2a48fdf99b09c01b3801,blues,16,1,1173.4,English
881,54af2a48fdf99b09c01b3801,browns,1,0,749.2999997,English
882,54af2a48fdf99b09c01b3801,blues,7,1,1095,English
883,54af2a48fdf99b09c01b3801,browns,18,1,802.4000001,English
884,54af2a48fdf99b09c01b3801,reds,19,1,804.9000001,English
885,54af2a48fdf99b09c01b3801,browns,5,0,791.5,English
886,54af2a48fdf99b09c01b3801,reds,20,1,683.3999996,English
887,54af2a48fdf99b09c01b3801,browns,12,1,2130.8,English
888,54af2a48fdf99b09c01b3801,blues,14,1,2123.8,English
889,54af2a48fdf99b09c01b3801,blues,13,1,1323.4,English
890,54af2a48fdf99b09c01b3801,browns,8,0,1045.1,English
891,54af2a48fdf99b09c01b3801,yellows,2,0,796,English
892,54af2a48fdf99b09c01b3801,reds,10,0,1552.2,English
893,54af2a48fdf99b09c01b3801,browns,14,1,1080.1,English
894,54af2a48fdf99b09c01b3801,blues,2,0,1388.2,English
895,54af2a48fdf99b09c01b3801,yellows,9,0,2186.4,English
896,54af2a48fdf99b09c01b3801,reds,19,1,1039.8,English
897,54af2a48fdf99b09c01b3801,blues,4,0,705,English
898,54af2a48fdf99b09c01b3801,browns,2,0,858.0999999,English
899,54af2a48fdf99b09c01b3801,blues,15,1,1345.6,English
900,54af2a48fdf99b09c01b3801,yellows,7,0,1000.5,English
